用户ID,用户昵称,用户头像地址,评论时间,点赞总数,评论内容
10150843,ry笑嘻嘻,http://p2.music.126.net/zIao3daDVORgnSXZqFU_HQ==/3244658816620584.jpg,1421595752025,6556,虽然沉默是金，但在有些事上该出手时就出手，别跟着其他人的思路走，勇于表达自己的观点[爱心]
58918944,funglolo,http://p2.music.126.net/_IYZxPYcbgoddwOSxoth-w==/7840617418182878.jpg,1467616749176,4140,就记得今年元旦在香港红磡看完演唱会 凌晨十二点多 地下通道一个老人拉着二胡 《沉默是金》 衣衫褴褛 可是神情姿态里 全是潇洒
380252,一叶孤舟,http://p2.music.126.net/-sX48TKKm0yQYYYjTTmiMA==/18532268487287091.jpg,1420642946045,4120,是非有公理 慎言莫冒犯别人，遇上冷风雨休太认真，自信满心里 休理会讽刺与质问，笑骂由人 洒脱地做人。
619771608,挺乱,http://p2.music.126.net/PwVb5zEl1b_Ax-VcMgk-kA==/109951163220228845.jpg,1522889787472,1996,第一次听哥哥的歌是十八岁，一首沉默是金解决了当时时时想不通的问题，有谁共鸣这是我最喜欢的歌，唱出了当时的处境，有时真的很想做个普通人，但是一个人必须要扛起那份属于自己的责任。对于我来说，任世间在缤纷多彩，也不及家人的万分之一，
39001,swordl,http://p1.music.126.net/BqHQLRZCSmgoCvFUGanZbA==/3410685069804605.jpg,1413036878436,63260,小倩往去，世间再无宁采臣…
915262,路牛甲,http://p1.music.126.net/TpoOIsutySJ_9ZaLaHtsnw==/1408474395430314.jpg,1415370420698,62469,哎，就剩一个演鬼的不是鬼了…
79837085,张国荣的免费小水军,http://p1.music.126.net/psY8Xbj0m-o9mvaeHjjb0g==/7958265162985564.jpg,1436717271239,46713,所有爱Leslie的朋友，如果今后有人以跳楼为话题侮辱，请记住下面这段话：抑郁症可以侵袭任何人，张国荣也没有幸免的特权。他积极地勇于面对病症，却仍不幸未能根治，更在病发之时跳楼身亡。若病人因病逝世也要被批评，未免太荒谬了吧？谁都有不喜欢张国荣的权利，请不要用他的逝世方式来污蔑他。
101103503,小笼包去哪儿ii,http://p1.music.126.net/wGYn_xZAM9eQkH5PyiMDUA==/528865099810693.jpg,1450169109060,42491,有95后的 和我一样听这歌吗
41414897,微博-树下有玉,http://p1.music.126.net/aZMIjz9XBFpO6saHGZ8uSA==/6669637535168104.jpg,1440068416263,30914,《倩女幽魂》里，小倩投胎时，宁采臣死死地用肩膀扛着门板，担心阳光把小倩的魂魄照散，直到燕赤霞告诉他”她已经走了”。宁采臣怔怔地回过头来，面前一地残酷的阳光。正因为一开始相恋就知道要诀别，所以才贪恋那朝露般的温暖。情爱如梦，梦里依稀，依稀有泪光。
25750883,柳清尺,http://p1.music.126.net/6et-NRsxLZh4BpoQAIGMww==/109951163284777900.jpg,1409926622799,23024,哥哥 黄沾 午马。。都已经不在人世，不胜唏嘘
80162301,瓶沉,http://p1.music.126.net/E8bH_gDig_bpFHcHhUAwpg==/18637821604303661.jpg,1437922291781,22289,leslie阴阳永隔，梅姐如花凋零，祖贤隔海相望，青霞嫁作商妇，曼玉尘世飘荡，老一辈的巨星们是否偶尔也会回想那被岁月染黄颜色的当年情
